school_latitude,school_longitude,school_zip,total_price_excluding_opt_donation,total_price_including_opt_donation,students_reached,total_donations,num_donors
36.289351,-76.228141,27909,536.08,653.76,400,0,0
41.777554,-87.681219,60636,459.2,560,28,460,1
40.594672,-73.795145,11692,659,803.66,12,807.85,2
40.666329,-73.876363,11208,273.68,333.76,17,321.1,4
40.815577,-73.902104,10455,249.08,303.76,150,286.44,1
41.855056,-87.647988,60608,492,600,30,492,1
37.653138,-122.479116,94044,211.15,257.5,19,212,1
40.836197,-73.892738,10460,1988.5,2425,300,2286.78,1
38.114609,-122.234322,94590,459.2,560,20,528.08,1
38.185033,-122.25826,94503,319.8,390,13,367.77,1
37.653138,-122.479116,94044,357.73,436.26,23,0,0
41.901982,-87.640974,60610,316.73,386.26,90,317,1
35.216339,-80.686729,28215,709.3,865,25,828.11,4
35.216339,-80.686729,28215,141.45,172.5,25,162.67,1
40.869698,-73.879114,10467,444.85,542.5,25,513.6,3
37.14814022,-119.6442488,95133,2433.35,2967.5,190,2792.35,4
36.157898,-80.202222,27105,806.68,983.76,18,0,0
37.32804108,-121.84655,95121,742.1,905,20,868.21,3
40.615929,-73.912835,11234,1644,2004.88,300,0,0
41.908114,-87.639886,60610,1096.75,1337.5,18,1271.16,7
36.012955,-78.922493,27705,414.1,505,34,0,0
37.92817688,-122.3600235,94804,500.2,610,21,580.66,2
41.755229,-87.645554,60620,387.45,472.5,40,0,0
40.645821,-74.001663,11232,215.25,262.5,42,247.76,2
40.660793,-73.988731,11215,470.48,573.76,52,541.05,1
35.23177,-80.886032,28208,2234.5,2725,200,0,0
37.381256,-122.048012,94086,444.85,542.5,22,511.58,1
35.216339,-80.686729,28215,112.75,137.5,42,129.66,1
40.81758,-73.902302,10455,304.43,371.26,45,350.09,1
35.981193,-78.820487,27703,220.38,268.76,26,248.59,4
40.816223,-73.922745,10451,381.3,465,22,438.5,1
35.37985056,-81.36975796,28021,731.85,892.5,25,0,0
41.874419,-87.660419,60607,196.8,240,30,0,0
35.711567,-78.653404,27603,107.63,131.26,25,123.77,1
38.908719,-77.012326,20001,247.03,301.26,20,187,1
34.772993,-79.470018,28352,240.88,293.76,30,277.01,1
40.82283856,-73.9235472,10451,534.03,651.26,17,0,0
41.796191,-87.625923,60609,351.58,428.76,140,404.32,1
35.709316,-81.671624,28655,162.98,198.76,50,187.43,1
40.792306,-73.952037,10029,164,200,32,188.6,1
41.906746,-87.692631,60622,415.13,506.26,40,439.9,2
35.78805506,-82.03303456,28752,159.9,195,45,183.89,1
40.857103,-73.899451,10458,397.7,485,25,457.36,1
40.761326,-73.988663,10036,524.8,640,200,656,1
40.676156,-73.880158,11208,411.03,501.26,20,480.56,1
40.822987,-73.922531,10451,1987.48,2423.76,30,0,0
38.185033,-122.25826,94503,257.27,313.74,15,302.4,3
40.822548,-73.85329,10473,261.38,318.76,13,0,0
34.885608,-79.367831,28396,645.75,787.5,32,742.61,1
41.814239,-87.603827,60653,171.18,208.76,25,196.86,1
41.764231,-87.600175,60619,460.23,561.26,400,461,2
35.994214,-79.940612,27282,406.93,496.26,20,467.97,1
35.935248,-79.045893,27514,680.6,830,100,0,0
40.671518,-73.977924,11215,174.25,212.5,27,209.1,1
40.649203,-74.012325,11220,451,550,25,0,0
40.645821,-74.001663,11232,441.78,538.76,20,508.05,1
33.494147,-81.967933,29841,354.65,432.5,360,0,0
41.868322,-87.770345,60644,444.85,542.5,36,0,0
40.835903,-73.928254,10452,325.95,397.5,25,0,0
40.79526138,-73.93006134,10035,252.15,307.5,7,310,5
41.824459,-87.710701,60632,206.03,251.26,35,0,0
40.753002,-73.992409,10018,108.65,132.5,45,124.95,1
35.906434,-80.560646,27028,366.95,447.5,95,0,0
34.98888,-81.971687,29303,150.68,183.76,300,151,1
34.148568,-78.887629,28463,520.7,635,6,598.81,1
35.933529,-79.076317,27516,3708,4521.95,2,4448.92,1
40.645821,-74.001663,11232,232.68,283.76,24,258.58,3
36.096004,-79.61602,27249,460.23,561.26,11,0,0
34.559309,-77.445159,28445,1043.45,1272.5,30,30,1
35.747218,-79.488585,27344,579.13,706.26,200,100,1
34.21883452,-80.69570708,29078,194.75,237.5,50,223.96,1
34.994382,-81.920901,29303,492,600,20,565.8,1
40.633863,-73.966464,11230,227.55,277.5,30,0,0
41.967546,-87.676338,60640,263.43,321.26,15,298.44,3
36.088305,-79.397996,27217,360.8,440,20,0,0
35.65483856,-78.57776642,27529,338,412.2,20,199,2
40.653109,-74.00517,11232,288.02,351.24,34,335.05,4
40.822346,-73.888969,10459,242.93,296.26,20,266,3
40.822548,-73.85329,10473,549.4,670,12,0,0
32.936106,-80.137764,29485,386.43,471.26,26,444.39,1
36.084869,-80.325023,27104,226.53,276.26,15,265.01,2
40.81758,-73.902302,10455,580.15,707.5,100,667.17,1
40.82283856,-73.9235472,10451,332,404.88,25,381.8,1
41.91648893,-87.8988567,60612,412.05,502.5,25,413,3
38.171224,-122.262067,94503,484.83,591.26,220,0,0
40.792306,-73.952037,10029,324.93,396.26,12,373.67,1
38.31675,-122.316277,94558,283.93,346.26,32,284,1
38.91453,-77.022753,20001,493.54,601.88,20,0,0
40.606766,-74.007861,11214,299.3,365,12,0,0
38.281416,-122.459277,95476,1231.03,1501.26,165,60,2
40.80205,-73.93631,10035,5244.93,6396.26,45,5998.11,3
34.98888,-81.971687,29303,498.15,607.5,47,566.87,4
36.01744,-79.075546,27514,462.28,563.76,470,554.74,1
33.888603,-118.197959,90221,1154.15,1407.5,20,1327.27,1
40.844243,-73.907793,10457,145.55,177.5,31,167.38,1
37.92035294,-122.305809,94530,5593.43,6821.26,20,0,0
40.676156,-73.880158,11208,167.08,203.76,25,192.14,1
35.612646,-78.771021,27526,113.78,138.76,16,136.54,1
40.744175,-74.000176,10011,134,163.41,20,178,1
37.776229,-122.28206,94501,359.78,438.76,18,413.75,1
37.369736,-122.023701,94086,908.15,1107.5,9,0,0
40.858383,-73.886993,10458,320.83,391.26,60,368.95,1
40.809286,-73.917742,10454,181.43,221.26,35,208.64,1
37.339023,-121.792007,95148,193.73,236.26,40,207,3
40.821729,-73.916974,10451,412.05,502.5,20,0,0
40.806419,-73.921577,10454,1616.43,1971.26,22,1858.89,1
41.884067,-87.730472,60624,242.93,296.26,18,279.37,1
36.118801,-80.350951,27106,3039.13,3706.26,30,0,0
40.732575,-73.982968,10003,354.65,432.5,25,363,2
38.896353,-76.922055,20019,622.42,759.05,20,0,0
35.922684,-81.51299,28645,758.5,925,23,0,0
37.335189,-121.827538,95122,151.7,185,33,0,0
35.533236,-77.399808,28590,355.68,433.76,25,364.71,2
36.084869,-80.325023,27104,2333.93,2846.26,38,0,0
34.434664,-77.889442,28457,305.45,372.5,90,30,1
38.908719,-77.012326,20001,195.78,238.76,20,226,1
41.872221,-87.683559,60612,314.68,383.76,28,361.88,1
41.765977,-87.653093,60621,2272.43,2771.26,90,125,2
40.832818,-73.911691,10456,181.43,221.26,25,0,0
41.855056,-87.647988,60608,144.53,176.26,30,166.21,1
40.813699,-73.908713,10455,583,710.98,120,615,1
40.666329,-73.876363,11208,727.75,887.5,120,0,0
37.350142,-121.822822,95127,211.15,257.5,20,239.43,5
41.766869,-87.611463,60637,939,1145.12,20,50,2
34.216557,-82.110016,29646,596.55,727.5,120,798.11,5
35.928123,-77.818657,27803,131.2,160,24,152.01,2
41.863023,-87.713048,60623,652.92,796.24,25,750.86,1
34.19335,-81.414138,29075,429.48,523.76,13,466.15,3
30.466678,-90.860488,70785,111.73,136.26,19,128.49,1
35.964138,-77.96534,27804,302.38,368.76,15,352.56,4
38.897495,-76.946198,20019,395.86,482.76,20,0,0
38.316848,-122.483847,95476,149.65,182.5,21,172.1,1
40.842142,-73.891269,10457,282.9,345,13,325.34,1
41.872221,-87.683559,60612,287,350,25,0,0
40.771433,-73.906193,11105,157.85,192.5,60,181.53,1
35.719046,-81.769213,28655,556.58,678.76,200,0,0
41.85253143,-87.65464783,60608,5753.33,7016.26,4,0,0
34.238375,-78.035229,28451,135.3,165,100,155.6,1
30.07776685,-90.53201213,70084,1374,1675.61,90,1638.85,5
41.777554,-87.681219,60636,362.85,442.5,20,421.33,3
32.899936,-80.009801,29406,863.05,1052.5,11,994.31,2
34.06905365,-118.2891235,90020,1071.13,1306.26,28,1266.33,2
41.900079,-87.73132,60651,1032.18,1258.76,30,80,1
40.71605,-73.99092,10002,171.18,208.76,600,199.11,2
41.989312,-87.658276,60660,242.93,296.26,22,249.37,3
40.693417,-73.913353,11221,248.05,302.5,20,315.26,2
40.83628625,-73.85516904,10462,186.55,227.5,1000,214.53,1
40.687286,-73.988217,11201,457.15,557.5,24,470,2
41.780987,-87.787647,60638,232.68,283.76,30,267.58,1
34.408161,-77.916077,28457,336.2,410,50,30,1
38.9357872,-77.05922699,20008,168.1,205,20,0,0
34.08678,-118.216786,90065,447.93,546.26,56,521.08,2
40.800913,-73.939448,10035,229.6,280,15,230,1
40.661032,-73.988674,11215,1493.43,1821.26,15,1826.04,6
33.953292,-118.19824,90280,758.5,925,160,883.05,3
40.601616,-73.763962,11691,601.67,733.74,500,0,0
29.747736,-95.563721,77042,1645.13,2006.26,10,1891.9,1
37.730578,-122.485996,94132,610.9,745,96,0,0
32.794367,-79.94778,29403,1131.6,1380,16,1385.46,2
40.676156,-73.880158,11208,230.63,281.26,25,267.47,2
30.486743,-90.94365,70726,420.25,512.5,160,483.29,1
41.794086,-87.670071,60609,360.8,440,1,414.92,1
41.811252,-87.704268,60632,1425.78,1738.76,50,0,0
36.11627473,-81.17583523,28697,664.2,810,70,30,1
35.216339,-80.686729,28215,304.43,371.26,21,350.09,1
41.802161,-87.685691,60632,963.5,1175,10,0,0
40.877098,-73.881612,10467,164,200,26,188.6,1
40.85466,-73.8968,10457,427.43,521.26,90,498.48,18
40.89247,-73.861475,10466,177.33,216.26,25,0,0
35.928123,-77.818657,27803,348.5,425,250,0,0
36.460122,-81.532566,28693,852,1039.02,30,986.51,2
37.861392,-122.250954,94705,380.28,463.76,60,415,3
40.800194,-73.937765,10035,547.35,667.5,60,629.45,1
34.23782244,-78.68711237,28472,520.7,635,18,0,0
40.72805405,-73.79055023,11366,818.98,998.76,12,250,4
41.919402,-87.731316,60639,118.9,145,26,137.97,3
40.857103,-73.899451,10458,4774,5821.95,24,5647.39,1
36.111602,-80.1918,27101,53.3,65,15,61.3,1
32.96085027,-80.13882127,29456,259.33,316.26,75,311.2,1
40.842142,-73.891269,10457,220.38,268.76,13,253.44,1
41.91648893,-87.8988567,60612,407.95,497.5,50,472.07,3
29.77603,-95.335601,77020,461.25,562.5,125,530.44,1
34.79326367,-82.96544041,29672,478.68,583.76,16,0,0
34.9009,-77.545087,28574,967.6,1180,200,0,0
34.72174,-81.611886,29379,139.4,170,17,161.44,2
37.72136852,-122.4451911,94112,158.88,193.76,20,194.66,2
35.885506,-77.948661,27822,489.95,597.5,20,0,0
37.797806,-122.426132,94123,739.03,901.26,31,0,0
30.50160993,-90.58284304,70711,328,400,25,377.2,1
32.96861,-79.977336,29445,1877.8,2290,87,0,0
35.709938,-81.386139,28602,474,578.05,75,150,2
41.865633,-87.676044,60608,1120.33,1366.26,21,130,2
40.683219,-73.969075,11238,444.85,542.5,140,150,2
41.7987071,-87.69028477,60632,161.95,197.5,28,189.17,3
38.287622,-122.303993,94558,304.43,371.26,260,336.17,4
32.92081451,-80.04088593,29406,106.6,130,19,123.27,2
38.00670624,-121.8980026,94565,370.03,451.26,20,425.53,1
40.624836,-74.150597,10303,389.5,475,30,447.93,1
40.851853,-73.910253,10453,337.23,411.26,45,379.02,5
29.986612,-90.199523,70003,660.1,805,450,0,0
30.53828121,-90.38346982,70401,1816,2214.63,31,50,1
30.441464,-91.131888,70806,503.28,613.76,65,578.77,1
37.369357,-121.814075,95127,689.83,841.26,60,0,0
29.874163,-90.028188,70056,1085.47,1323.74,300,1244.17,4
41.921853,-87.681259,60647,326.98,398.76,27,0,0
30.356319,-90.058121,70448,340.3,415,20,0,0
37.797806,-122.426132,94123,417.18,508.76,39,496,3
31.146495,-90.805749,39645,474.58,578.76,300,549.37,4
37.720699,-122.405279,94134,658,802.44,10,50,1
40.819389,-73.957037,10027,964.53,1176.26,60,0,0
29.67177,-95.501625,77096,653.95,797.5,80,0,0
29.698051,-95.420586,77025,2773,3381.71,44,500,1
41.791206,-87.671953,60636,226.53,276.26,15,263.88,3
40.877098,-73.881612,10467,483.8,590,20,0,0
32.911179,-96.72364,75243,2881,3513.41,80,500,1
40.633916,-74.142232,10302,2485.63,3031.26,29,0,0
32.934165,-80.029627,29410,985.03,1201.26,30,0,0
40.67993,-73.838238,11417,504.3,615,30,0,0
40.59388,-73.761574,11691,175.28,213.76,2,201.57,1
41.7987071,-87.69028477,60632,601.67,733.74,20,693.05,2
37.79741992,-122.4102951,94133,438,534.15,25,529,3
40.83953,-73.925807,10452,146.57,178.74,21,0,0
30.356319,-90.058121,70448,604.75,737.5,24,725.7,1
30.356319,-90.058121,70448,482,587.8,16,125,2
41.865633,-87.676044,60608,111.73,136.26,26,128.49,1
36.322983,-81.746353,28698,410,500,16,0,0
35.65537015,-78.66637592,27603,155.8,190,22,185,2
40.813916,-73.900522,10455,4804.18,5858.76,19,0,0
40.806419,-73.921577,10454,321.85,392.5,25,362.63,2
40.632837,-73.954607,11210,516.6,630,50,553.27,8
40.676156,-73.880158,11208,218.33,266.26,15,252.18,2
40.797416,-73.931111,10035,1376.58,1678.76,300,0,0
35.03159714,-82.35695648,29687,423.33,516.26,50,508,1
34.132997,-81.281615,29036,250.1,305,22,292.12,2
40.679096,-73.946669,11216,135.3,165,24,155.6,1
35.718028,-79.182623,27312,115.83,141.26,23,139,1
35.03159714,-82.35695648,29687,1167.47,1423.74,250,0,0
33.43291473,-88.83674622,39759,130.18,158.76,25,160.23,2
37.803455,-122.424068,94109,455.1,555,30,529.4,2
34.23782244,-78.68711237,28472,139.4,170,18,163.99,1
37.735995,-122.399821,94124,427.43,521.26,15,494,2
34.237267,-77.932755,28401,976.83,1191.26,90,0,0
37.803455,-122.424068,94109,242.93,296.26,50,0,0
30.356319,-90.058121,70448,1125,1371.95,176,250,1
40.814302,-73.886897,10474,1392.98,1698.76,23,0,0
41.76500715,-87.65797757,60636,186,226.83,30,10,1
40.792306,-73.952037,10029,836.4,1020,8,0,0
34.066469,-118.256669,90026,464,565.85,20,535.15,1
36.15987,-80.053665,27284,134.28,163.76,20,167.85,1
31.746143,-106.349335,79915,1471.9,1795,550,0,0
35.928123,-77.818657,27803,388.48,473.76,25,457.03,5
35.759201,-81.578766,28690,232.68,283.76,10,267.58,1
37.684967,-121.742363,94550,278.8,340,20,334.56,1
40.835058,-73.845641,10462,267.52,326.24,120,307.65,1
35.28804257,-80.95843714,28214,85.08,103.76,25,97.84,1
38.316848,-122.483847,95476,309.55,377.5,20,0,0
34.136107,-77.884599,28409,607.83,741.26,110,0,0
36.098874,-80.365909,27106,1294.58,1578.76,120,0,0
40.574568,-73.996105,11224,501.23,611.26,25,0,0
34.33037,-79.16766,29563,607.83,741.26,12,0,0
40.823994,-73.880524,10472,110.7,135,25,127.31,1
41.817883,-87.599345,60653,699.05,852.5,25,813.59,10
41.83644243,-87.61815816,60616,619.1,755,60,0,0
37.684967,-121.742363,94550,301,367.07,25,25,1
34.865326,-82.397079,29609,551,671.95,24,25,1
35.110957,-81.230394,29710,428.45,522.5,420,0,0
32.80925764,-96.6938611,75228,324,395.12,22,374.84,1
32.995072,-80.219274,29483,230.63,281.26,100,265.22,1
35.726777,-79.49438,27344,185.53,226.26,25,213.36,1
40.86051046,-73.92760433,10040,421.28,513.76,25,0,0
33.060733,-79.539175,29458,580.15,707.5,30,0,0
34.232589,-77.934166,28401,159.9,195,120,185.88,3
39.775349,-86.121971,46201,2024.38,2468.76,27,2354.05,2
34.875057,-82.463943,29617,363.88,443.76,100,0,0
38.92387009,-77.03903198,20009,327.32,399.17,20,377,1
38.91555023,-77.00524902,20002,521.73,636.26,20,613.8,17
41.89128891,-87.66551591,60642,130.18,158.76,25,152.7,5
37.786723,-122.235628,94606,559.65,682.5,32,0,0
34.061369,-118.263261,90026,463.3,565,55,274.5,1
34.035595,-118.392597,90034,586.3,715,200,674.24,1
35.047568,-82.012646,29316,1119.3,1365,120,0,0
41.844676,-87.628265,60616,318.77,388.74,20,370.95,2
35.760019,-78.775368,27511,91.23,111.26,23,109.48,1
38.908719,-77.012326,20001,369,450,20,426,2
40.798317,-73.949107,10026,190.65,232.5,20,0,0
34.214847,-118.399981,91605,185.53,226.26,20,215.84,2
37.380576,-121.833092,95127,355,432.93,20,325,3
40.660793,-73.988731,11215,673.43,821.26,60,0,0
41.78341,-87.591128,60637,535.05,652.5,650,628.7,3
40.821404,-73.940975,10030,693.93,846.26,250,796.67,6
28.03525082,-97.5009504,78387,439,535.37,50,25,1
34.972502,-81.075999,29732,698.03,851.26,20,855.16,2
41.748875,-87.574877,60617,158.88,193.76,30,182.71,1
41.78338364,-87.60275625,60637,213.2,260,30,245.18,1
33.52877,-81.972442,29841,2941.75,3587.5,120,0,0
37.803455,-122.424068,94109,360.8,440,150,414.92,1
41.780987,-87.787647,60638,260.35,317.5,35,299.4,1
33.951473,-118.288101,90044,400.78,488.76,70,479.73,4
41.733783,-87.557885,60617,474.58,578.76,27,558.3,1
41.896768,-87.688099,60622,519.67,633.74,24,624.09,8
41.824459,-87.710701,60632,117.88,143.76,29,138.68,3
37.943016,-122.364521,94801,565,689.02,20,668.06,4
40.648769,-73.907519,11236,125.05,152.5,36,128.81,2
40.815417,-73.885571,10474,358.75,437.5,24,388.56,4
34.06905365,-118.2891235,90020,1025,1250,20,0,0
38.88499,-77.001772,20003,583.59,711.7,20,587.34,2
41.749648,-87.669291,60620,730.83,891.26,28,840.45,1
35.935879,-80.02597,27260,339,413.41,150,400.35,5
35.743961,-77.91818,27893,1404.25,1712.5,600,1405,1
35.13103485,-80.85119629,28210,698.03,851.26,20,0,0
32.816844,-80.073502,29414,1246.4,1520,120,0,0
37.92363358,-122.3443375,94804,1191,1452.44,99,100,1
32.855336,-80.072238,29414,530,646.34,98,25,1
40.688613,-73.934974,11221,133.25,162.5,11,153.24,1
33.950153,-118.248322,90002,1076,1312.2,60,0,0
35.73423,-81.273062,28613,640.63,781.26,24,0,0
40.713548,-73.986516,10002,2527.65,3082.5,75,0,0
41.799047,-87.625626,60609,503,613.41,57,0,0
36.332155,-79.94813,27025,2708.05,3302.5,519,0,0
30.73097038,-91.97633362,70589,383.35,467.5,200,445.8,2
40.830879,-73.901871,10456,297.25,362.5,12,341.84,1
40.661848,-73.940105,11203,241.9,295,22,0,0
35.047568,-82.012646,29316,1297.65,1582.5,550,0,0
34.253609,-118.586342,91311,443.83,541.26,1120,0,0
41.849079,-87.708626,60623,1702,2075.61,220,50,2
41.733307,-87.568148,60617,1434,1748.78,30,25,1
32.96590582,-80.29503755,29472,165.03,201.26,120,189.78,1
41.862224,-87.718206,60623,281.88,343.76,30,318.39,8
29.747491,-95.56136,77042,5852.75,7137.5,1000,0,0
33.969149,-118.404633,90045,152.73,186.26,125,177.68,1
34.20769,-118.457635,91405,2385.18,2908.76,35,0,0
41.740148,-87.601077,60619,242.93,296.26,30,279.37,1
41.870237,-87.701702,60612,607.83,741.26,17,699,1
28.03525082,-97.5009504,78387,426.4,520,60,490.36,1
33.955561,-118.366227,90301,412.05,502.5,33,0,0
35.709316,-81.671624,28655,319.8,390,80,327.3,2
29.93264492,-90.02826583,70114,253.18,308.76,10,291.16,1
37.326292,-121.822148,95122,158.88,193.76,20,186.91,1
41.921255,-87.776659,60639,479.7,585,30,562.91,2
41.824459,-87.710701,60632,351.58,428.76,32,412.3,3
40.728012,-73.862564,11374,499.18,608.76,500,587.24,1
40.8383,-73.903172,10457,412.05,502.5,25,0,0
37.282112,-121.829046,95111,260.35,317.5,100,306.29,3
41.865633,-87.676044,60608,134.28,163.76,20,154.42,1
35.265631,-81.105154,28098,62.53,76.26,90,0,0
32.360006,-90.001755,39232,2001.83,2441.26,130,0,0
30.408587,-88.887772,39530,475.6,580,150,546.94,1
39.64735275,-86.29147616,46183,440,536.59,150,100,1
41.983316,-87.670903,60660,185.53,226.26,18,213.36,1
37.626968,-122.073715,94544,991.18,1208.76,100,0,0
41.777554,-87.681219,60636,127.1,155,30,143.97,4
38.88639,-76.930579,20019,162.31,197.94,20,187,1
39.655722,-86.206757,46217,1067.03,1301.26,113,0,0
35.951839,-77.774048,27801,249.08,303.76,120,0,0
40.815367,-73.912122,10455,1967.49,2399.38,13,0,0
35.77608,-78.763881,27511,90,109.76,850,108,1
32.74213,-96.688805,75217,2071,2525.61,16,30,1
32.75576748,-79.96867709,29412,348.36,424.83,8,0,0
40.83522797,-73.90055084,10456,411.03,501.26,90,472.68,1
32.861508,-80.047647,29418,534.03,651.26,300,614.13,1
34.965063,-81.24012,29745,653.95,797.5,600,717.7,8
35.19834853,-83.36014339,28779,219.33,267.48,36,0,0
34.238293,-118.50766,91325,447.93,546.26,35,526.94,1
34.20769,-118.457635,91405,239.85,292.5,250,275.83,1
40.765517,-73.96009,10065,554.53,676.26,15,634.74,2
40.858677,-73.894691,10458,1459.6,1780,201,0,0
30.517087,-92.075232,70570,703,857.32,4,679.61,1
34.05075,-118.475008,90049,1042.43,1271.26,20,0,0
37.339023,-121.792007,95148,311.6,380,20,366.57,1
41.717512,-85.825185,46507,614,748.78,531,325,2
